raceId,constructorId,points,position,positionText,wins
939,211,65,5,5,0
939,214,42,6,6,0
940,4,447,1,1,8
940,5,274,2,2,6
940,131,181,3,3,4
940,1,158,4,4,2
940,211,65,5,5,0
940,214,42,6,6,0
941,4,447,1,1,8
941,5,274,2,2,6
941,131,181,3,3,4
941,1,158,4,4,2
941,211,65,5,5,0
941,214,42,6,6,0
942,4,447,1,1,8
942,5,274,2,2,6
942,131,181,3,3,4
942,1,158,4,4,2
942,211,65,5,5,0
942,214,42,6,6,0
943,4,447,1,1,8
943,5,274,2,2,6
943,131,181,3,3,4
943,1,158,4,4,2
943,211,65,5,5,0
943,214,42,6,6,0
944,4,447,1,1,8
944,5,274,2,2,6
944,131,181,3,3,4
944,1,158,4,4,2
944,211,65,5,5,0
944,214,42,6,6,0
945,4,447,1,1,8
945,5,274,2,2,6
945,131,181,3,3,4
945,1,158,4,4,2
945,211,65,5,5,0
945,214,42,6,6,0
946,4,447,1,1,8
946,5,274,2,2,6
946,131,181,3,3,4
946,1,158,4,4,2
946,211,65,5,5,0
946,214,42,6,6,0
947,4,447,1,1,8
947,5,274,2,2,6
947,131,181,3,3,4
947,1,158,4,4,2
947,211,65,5,5,0
947,214,42,6,6,0
948,4,447,1,1,8
948,5,274,2,2,6
948,131,181,3,3,4
948,1,158,4,4,2
948,211,65,5,5,0
948,214,42,6,6,0
949,4,447,1,1,8
949,5,274,2,2,6
949,131,181,3,3,4
949,1,158,4,4,2
949,211,65,5,5,0
949,214,42,6,6,0
950,4,447,1,1,8
950,5,274,2,2,6
950,131,181,3,3,4
950,1,158,4,4,2
950,211,65,5,5,0
950,214,42,6,6,0
951,4,447,1,1,8
951,5,274,2,2,6
951,131,181,3,3,4
951,1,158,4,4,2
951,211,65,5,5,0
951,214,42,6,6,0
952,4,447,1,1,8
952,5,274,2,2,6
952,131,181,3,3,4
952,1,158,4,4,2
952,211,65,5,5,0
952,214,42,6,6,0
953,4,447,1,1,8
953,5,274,2,2,6
953,131,181,3,3,4
953,1,158,4,4,2
953,211,65,5,5,0
953,214,42,6,6,0
954,4,447,1,1,8
954,5,274,2,2,6
954,131,181,3,3,4
954,1,158,4,4,2
954,211,65,5,5,0
954,214,42,6,6,0
955,4,447,1,1,8
955,5,274,2,2,6
955,131,181,3,3,4
955,1,158,4,4,2
955,211,65,5,5,0
955,214,42,6,6,0
956,4,447,1,1,8
956,5,274,2,2,6
956,131,181,3,3,4
956,1,158,4,4,2
956,211,65,5,5,0
956,214,42,6,6,0
957,4,447,1,1,8
957,5,274,2,2,6
957,131,181,3,3,4
957,1,158,4,4,2
957,211,65,5,5,0
957,214,42,6,6,0
958,4,447,1,1,8
958,5,274,2,2,6
958,131,181,3,3,4
958,1,158,4,4,2
958,211,65,5,5,0
958,214,42,6,6,0
959,4,447,1,1,8
959,5,274,2,2,6
959,131,181,3,3,4
959,1,158,4,4,2
959,211,65,5,5,0
959,214,42,6,6,0
960,4,447,1,1,8
960,5,274,2,2,6
960,131,181,3,3,4
960,1,158,4,4,2
960,211,65,5,5,0
960,214,42,6,6,0
961,4,447,1,1,8
961,5,274,2,2,6
961,131,181,3,3,4
961,1,158,4,4,2
961,211,65,5,5,0
961,214,42,6,6,0
962,4,447,1,1,8
962,5,274,2,2,6
962,131,181,3,3,4
962,1,158,4,4,2
962,211,65,5,5,0
962,214,42,6,6,0
963,4,447,1,1,8
963,5,274,2,2,6
963,131,181,3,3,4
963,1,158,4,4,2
963,211,65,5,5,0
963,214,42,6,6,0
964,4,447,1,1,8
964,5,274,2,2,6
964,131,181,3,3,4
964,1,158,4,4,2
964,211,65,5,5,0
964,214,42,6,6,0
965,4,447,1,1,8
965,5,274,2,2,6
965,131,181,3,3,4
965,1,158,4,4,2
965,211,65,5,5,0
965,214,42,6,6,0
