raceId,year,round,circuitId,name,date,time,url
817,2010,18,24,Brazil Grand Prix,2010-18-15,15:00:00,https://en.wikipedia.org/wiki/Brazil_Grand_Prix_2010
818,2010,19,69,Abu Dhabi Grand Prix,2010-19-15,15:00:00,https://en.wikipedia.org/wiki/Abu_Dhabi_Grand_Prix_2010
819,2015,1,1,Australia Grand Prix,2015-01-15,15:00:00,https://en.wikipedia.org/wiki/Australia_Grand_Prix_2015
820,2015,2,2,Malaysia Grand Prix,2015-02-15,15:00:00,https://en.wikipedia.org/wiki/Malaysia_Grand_Prix_2015
821,2015,3,13,China Grand Prix,2015-03-15,15:00:00,https://en.wikipedia.org/wiki/China_Grand_Prix_2015
822,2015,4,3,Bahrain Grand Prix,2015-04-15,15:00:00,https://en.wikipedia.org/wiki/Bahrain_Grand_Prix_2015
823,2015,5,4,Spain Grand Prix,2015-05-15,15:00:00,https://en.wikipedia.org/wiki/Spain_Grand_Prix_2015
824,2015,6,6,Monaco Grand Prix,2015-06-15,15:00:00,https://en.wikipedia.org/wiki/Monaco_Grand_Prix_2015
825,2015,7,7,Canada Grand Prix,2015-07-15,15:00:00,https://en.wikipedia.org/wiki/Canada_Grand_Prix_2015
826,2015,8,11,Austria Grand Prix,2015-08-15,15:00:00,https://en.wikipedia.org/wiki/Austria_Grand_Prix_2015
827,2015,9,9,Britain Grand Prix,2015-09-15,15:00:00,https://en.wikipedia.org/wiki/Britain_Grand_Prix_2015
828,2015,10,11,Hungary Grand Prix,2015-10-15,15:00:00,https://en.wikipedia.org/wiki/Hungary_Grand_Prix_2015
829,2015,11,13,Belgium Grand Prix,2015-11-15,15:00:00,https://en.wikipedia.org/wiki/Belgium_Grand_Prix_2015
830,2015,12,14,Italy Grand Prix,2015-12-15,15:00:00,https://en.wikipedia.org/wiki/Italy_Grand_Prix_2015
831,2015,13,15,Singapore Grand Prix,2015-13-15,15:00:00,https://en.wikipedia.org/wiki/Singapore_Grand_Prix_2015
832,2015,14,22,Japan Grand Prix,2015-14-15,15:00:00,https://en.wikipedia.org/wiki/Japan_Grand_Prix_2015
833,2015,15,1,Russia Grand Prix,2015-15-15,15:00:00,https://en.wikipedia.org/wiki/Russia_Grand_Prix_2015
834,2015,16,32,United States Grand Prix,2015-16-15,15:00:00,https://en.wikipedia.org/wiki/United_States_Grand_Prix_2015
835,2015,17,1,Mexico Grand Prix,2015-17-15,15:00:00,https://en.wikipedia.org/wiki/Mexico_Grand_Prix_2015
836,2015,18,24,Brazil Grand Prix,2015-18-15,15:00:00,https://en.wikipedia.org/wiki/Brazil_Grand_Prix_2015
837,2015,19,69,Abu Dhabi Grand Prix,2015-19-15,15:00:00,https://en.wikipedia.org/wiki/Abu_Dhabi_Grand_Prix_2015
838,2019,1,1,Australia Grand Prix,2019-01-15,15:00:00,https://en.wikipedia.org/wiki/Australia_Grand_Prix_2019
839,2019,2,3,Bahrain Grand Prix,2019-02-15,15:00:00,https://en.wikipedia.org/wiki/Bahrain_Grand_Prix_2019
840,2019,3,13,China Grand Prix,2019-03-15,15:00:00,https://en.wikipedia.org/wiki/China_Grand_Prix_2019
841,2019,4,1,Azerbaijan Grand Prix,2019-04-15,15:00:00,https://en.wikipedia.org/wiki/Azerbaijan_Grand_Prix_2019
842,2019,5,4,Spain Grand Prix,2019-05-15,15:00:00,https://en.wikipedia.org/wiki/Spain_Grand_Prix_2019
843,2019,6,6,Monaco Grand Prix,2019-06-15,15:00:00,https://en.wikipedia.org/wiki/Monaco_Grand_Prix_2019
844,2019,7,7,Canada Grand Prix,2019-07-15,15:00:00,https://en.wikipedia.org/wiki/Canada_Grand_Prix_2019
845,2019,8,1,France Grand Prix,2019-08-15,15:00:00,https://en.wikipedia.org/wiki/France_Grand_Prix_2019
846,2019,9,11,Austria Grand Prix,2019-09-15,15:00:00,https://en.wikipedia.org/wiki/Austria_Grand_Prix_2019
847,2019,10,9,Britain Grand Prix,2019-10-15,15:00:00,https://en.wikipedia.org/wiki/Britain_Grand_Prix_2019
848,2019,11,1,Germany Grand Prix,2019-11-15,15:00:00,https://en.wikipedia.org/wiki/Germany_Grand_Prix_2019
849,2019,12,11,Hungary Grand Prix,2019-12-15,15:00:00,https://en.wikipedia.org/wiki/Hungary_Grand_Prix_2019
850,2019,13,13,Belgium Grand Prix,2019-13-15,15:00:00,https://en.wikipedia.org/wiki/Belgium_Grand_Prix_2019
851,2019,14,14,Italy Grand Prix,2019-14-15,15:00:00,https://en.wikipedia.org/wiki/Italy_Grand_Prix_2019
852,2019,15,15,Singapore Grand Prix,2019-15-15,15:00:00,https://en.wikipedia.org/wiki/Singapore_Grand_Prix_2019
853,2019,16,1,Russia Grand Prix,2019-16-15,15:00:00,https://en.wikipedia.org/wiki/Russia_Grand_Prix_2019
854,2019,17,22,Japan Grand Prix,2019-17-15,15:00:00,https://en.wikipedia.org/wiki/Japan_Grand_Prix_2019
855,2019,18,1,Mexico Grand Prix,2019-18-15,15:00:00,https://en.wikipedia.org/wiki/Mexico_Grand_Prix_2019
856,2019,19,32,United States Grand Prix,2019-19-15,15:00:00,https://en.wikipedia.org/wiki/United_States_Grand_Prix_2019
857,2019,20,24,Brazil Grand Prix,2019-20-15,15:00:00,https://en.wikipedia.org/wiki/Brazil_Grand_Prix_2019
858,2019,21,69,Abu Dhabi Grand Prix,2019-21-15,15:00:00,https://en.wikipedia.org/wiki/Abu_Dhabi_Grand_Prix_2019
859,2020,1,11,Austria Grand Prix,2020-01-15,15:00:00,https://en.wikipedia.org/wiki/Austria_Grand_Prix_2020
860,2020,2,1,Styria Grand Prix,2020-02-15,15:00:00,https://en.wikipedia.org/wiki/Styria_Grand_Prix_2020
861,2020,3,11,Hungary Grand Prix,2020-03-15,15:00:00,https://en.wikipedia.org/wiki/Hungary_Grand_Prix_2020
862,2020,4,9,Britain Grand Prix,2020-04-15,15:00:00,https://en.wikipedia.org/wiki/Britain_Grand_Prix_2020
863,2020,5,1,70th Anniversary Grand Prix,2020-05-15,15:00:00,https://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix_2020
864,2020,6,4,Spain Grand Prix,2020-06-15,15:00:00,https://en.wikipedia.org/wiki/Spain_Grand_Prix_2020
865,2020,7,13,Belgium Grand Prix,2020-07-15,15:00:00,https://en.wikipedia.org/wiki/Belgium_Grand_Prix_2020
866,2020,8,14,Italy Grand Prix,2020-08-15,15:00:00,https://en.wikipedia.org/wiki/Italy_Grand_Prix_2020
867,2020,9,1,Tuscany Grand Prix,2020-09-15,15:00:00,https://en.wikipedia.org/wiki/Tuscany_Grand_Prix_2020
868,2020,10,1,Russia Grand Prix,2020-10-15,15:00:00,https://en.wikipedia.org/wiki/Russia_Grand_Prix_2020
869,2020,11,1,Eifel Grand Prix,2020-11-15,15:00:00,https://en.wikipedia.org/wiki/Eifel_Grand_Prix_2020
870,2020,12,1,Portugal Grand Prix,2020-12-15,15:00:00,https://en.wikipedia.org/wiki/Portugal_Grand_Prix_2020
871,2020,13,1,Imola Grand Prix,2020-13-15,15:00:00,https://en.wikipedia.org/wiki/Imola_Grand_Prix_2020
872,2020,14,1,Turkey Grand Prix,2020-14-15,15:00:00,https://en.wikipedia.org/wiki/Turkey_Grand_Prix_2020
873,2020,15,3,Bahrain Grand Prix,2020-15-15,15:00:00,https://en.wikipedia.org/wiki/Bahrain_Grand_Prix_2020
874,2020,16,1,Sakhir Grand Prix,2020-16-15,15:00:00,https://en.wikipedia.org/wiki/Sakhir_Grand_Prix_2020
875,2020,17,69,Abu Dhabi Grand Prix,2020-17-15,15:00:00,https://en.wikipedia.org/wiki/Abu_Dhabi_Grand_Prix_2020
876,2021,1,3,Bahrain Grand Prix,2021-01-15,15:00:00,https://en.wikipedia.org/wiki/Bahrain_Grand_Prix_2021
877,2021,2,1,Imola Grand Prix,2021-02-15,15:00:00,https://en.wikipedia.org/wiki/Imola_Grand_Prix_2021
878,2021,3,1,Portugal Grand Prix,2021-03-15,15:00:00,https://en.wikipedia.org/wiki/Portugal_Grand_Prix_2021
879,2021,4,4,Spain Grand Prix,2021-04-15,15:00:00,https://en.wikipedia.org/wiki/Spain_Grand_Prix_2021
880,2021,5,6,Monaco Grand Prix,2021-05-15,15:00:00,https://en.wikipedia.org/wiki/Monaco_Grand_Prix_2021
881,2021,6,1,Azerbaijan Grand Prix,2021-06-15,15:00:00,https://en.wikipedia.org/wiki/Azerbaijan_Grand_Prix_2021
882,2021,7,1,France Grand Prix,2021-07-15,15:00:00,https://en.wikipedia.org/wiki/France_Grand_Prix_2021
883,2021,8,1,Styria Grand Prix,2021-08-15,15:00:00,https://en.wikipedia.org/wiki/Styria_Grand_Prix_2021
884,2021,9,11,Austria Grand Prix,2021-09-15,15:00:00,https://en.wikipedia.org/wiki/Austria_Grand_Prix_2021
885,2021,10,9,Britain Grand Prix,2021-10-15,15:00:00,https://en.wikipedia.org/wiki/Britain_Grand_Prix_2021
886,2021,11,11,Hungary Grand Prix,2021-11-15,15:00:00,https://en.wikipedia.org/wiki/Hungary_Grand_Prix_2021
887,2021,12,13,Belgium Grand Prix,2021-12-15,15:00:00,https://en.wikipedia.org/wiki/Belgium_Grand_Prix_2021
888,2021,13,1,Netherlands Grand Prix,2021-13-15,15:00:00,https://en.wikipedia.org/wiki/Netherlands_Grand_Prix_2021
889,2021,14,14,Italy Grand Prix,2021-14-15,15:00:00,https://en.wikipedia.org/wiki/Italy_Grand_Prix_2021
890,2021,15,1,Russia Grand Prix,2021-15-15,15:00:00,https://en.wikipedia.org/wiki/Russia_Grand_Prix_2021
891,2021,16,1,Turkey Grand Prix,2021-16-15,15:00:00,https://en.wikipedia.org/wiki/Turkey_Grand_Prix_2021
892,2021,17,32,United States Grand Prix,2021-17-15,15:00:00,https://en.wikipedia.org/wiki/United_States_Grand_Prix_2021
893,2021,18,1,Mexico City Grand Prix,2021-18-15,15:00:00,https://en.wikipedia.org/wiki/Mexico_City_Grand_Prix_2021
894,2021,19,1,São Paulo Grand Prix,2021-19-15,15:00:00,https://en.wikipedia.org/wiki/São_Paulo_Grand_Prix_2021
895,2021,20,80,Qatar Grand Prix,2021-20-15,15:00:00,https://en.wikipedia.org/wiki/Qatar_Grand_Prix_2021
896,2021,21,70,Saudi Arabia Grand Prix,2021-21-15,15:00:00,https://en.wikipedia.org/wiki/Saudi_Arabia_Grand_Prix_2021
897,2021,22,69,Abu Dhabi Grand Prix,2021-22-15,15:00:00,https://en.wikipedia.org/wiki/Abu_Dhabi_Grand_Prix_2021
898,2022,1,3,Bahrain Grand Prix,2022-01-15,15:00:00,https://en.wikipedia.org/wiki/Bahrain_Grand_Prix_2022
899,2022,2,70,Saudi Arabia Grand Prix,2022-02-15,15:00:00,https://en.wikipedia.org/wiki/Saudi_Arabia_Grand_Prix_2022
900,2022,3,1,Australia Grand Prix,2022-03-15,15:00:00,https://en.wikipedia.org/wiki/Australia_Grand_Prix_2022
901,2022,4,1,Emilia Romagna Grand Prix,2022-04-15,15:00:00,https://en.wikipedia.org/wiki/Emilia_Romagna_Grand_Prix_2022
902,2022,5,1,Miami Grand Prix,2022-05-15,15:00:00,https://en.wikipedia.org/wiki/Miami_Grand_Prix_2022
903,2022,6,4,Spain Grand Prix,2022-06-15,15:00:00,https://en.wikipedia.org/wiki/Spain_Grand_Prix_2022
904,2022,7,6,Monaco Grand Prix,2022-07-15,15:00:00,https://en.wikipedia.org/wiki/Monaco_Grand_Prix_2022
905,2022,8,1,Azerbaijan Grand Prix,2022-08-15,15:00:00,https://en.wikipedia.org/wiki/Azerbaijan_Grand_Prix_2022
906,2022,9,7,Canada Grand Prix,2022-09-15,15:00:00,https://en.wikipedia.org/wiki/Canada_Grand_Prix_2022
907,2022,10,9,Britain Grand Prix,2022-10-15,15:00:00,https://en.wikipedia.org/wiki/Britain_Grand_Prix_2022
908,2022,11,11,Austria Grand Prix,2022-11-15,15:00:00,https://en.wikipedia.org/wiki/Austria_Grand_Prix_2022
909,2022,12,1,France Grand Prix,2022-12-15,15:00:00,https://en.wikipedia.org/wiki/France_Grand_Prix_2022
910,2022,13,11,Hungary Grand Prix,2022-13-15,15:00:00,https://en.wikipedia.org/wiki/Hungary_Grand_Prix_2022
911,2022,14,13,Belgium Grand Prix,2022-14-15,15:00:00,https://en.wikipedia.org/wiki/Belgium_Grand_Prix_2022
912,2022,15,1,Netherlands Grand Prix,2022-15-15,15:00:00,https://en.wikipedia.org/wiki/Netherlands_Grand_Prix_2022
913,2022,16,14,Italy Grand Prix,2022-16-15,15:00:00,https://en.wikipedia.org/wiki/Italy_Grand_Prix_2022
914,2022,17,15,Singapore Grand Prix,2022-17-15,15:00:00,https://en.wikipedia.org/wiki/Singapore_Grand_Prix_2022
915,2022,18,22,Japan Grand Prix,2022-18-15,15:00:00,https://en.wikipedia.org/wiki/Japan_Grand_Prix_2022
916,2022,19,32,United States Grand Prix,2022-19-15,15:00:00,https://en.wikipedia.org/wiki/United_States_Grand_Prix_2022
917,2022,20,1,Mexico City Grand Prix,2022-20-15,15:00:00,https://en.wikipedia.org/wiki/Mexico_City_Grand_Prix_2022
918,2022,21,1,São Paulo Grand Prix,2022-21-15,15:00:00,https://en.wikipedia.org/wiki/São_Paulo_Grand_Prix_2022
919,2022,22,69,Abu Dhabi Grand Prix,2022-22-15,15:00:00,https://en.wikipedia.org/wiki/Abu_Dhabi_Grand_Prix_2022
920,2023,1,3,Bahrain Grand Prix,2023-01-15,15:00:00,https://en.wikipedia.org/wiki/Bahrain_Grand_Prix_2023
921,2023,2,70,Saudi Arabia Grand Prix,2023-02-15,15:00:00,https://en.wikipedia.org/wiki/Saudi_Arabia_Grand_Prix_2023
922,2023,3,1,Australia Grand Prix,2023-03-15,15:00:00,https://en.wikipedia.org/wiki/Australia_Grand_Prix_2023
923,2023,4,1,Azerbaijan Grand Prix,2023-04-15,15:00:00,https://en.wikipedia.org/wiki/Azerbaijan_Grand_Prix_2023
924,2023,5,1,Miami Grand Prix,2023-05-15,15:00:00,https://en.wikipedia.org/wiki/Miami_Grand_Prix_2023
925,2023,6,6,Monaco Grand Prix,2023-06-15,15:00:00,https://en.wikipedia.org/wiki/Monaco_Grand_Prix_2023
926,2023,7,4,Spain Grand Prix,2023-07-15,15:00:00,https://en.wikipedia.org/wiki/Spain_Grand_Prix_2023
927,2023,8,7,Canada Grand Prix,2023-08-15,15:00:00,https://en.wikipedia.org/wiki/Canada_Grand_Prix_2023
928,2023,9,11,Austria Grand Prix,2023-09-15,15:00:00,https://en.wikipedia.org/wiki/Austria_Grand_Prix_2023
929,2023,10,9,Britain Grand Prix,2023-10-15,15:00:00,https://en.wikipedia.org/wiki/Britain_Grand_Prix_2023
930,2023,11,11,Hungary Grand Prix,2023-11-15,15:00:00,https://en.wikipedia.org/wiki/Hungary_Grand_Prix_2023
931,2023,12,13,Belgium Grand Prix,2023-12-15,15:00:00,https://en.wikipedia.org/wiki/Belgium_Grand_Prix_2023
932,2023,13,1,Netherlands Grand Prix,2023-13-15,15:00:00,https://en.wikipedia.org/wiki/Netherlands_Grand_Prix_2023
933,2023,14,14,Italy Grand Prix,2023-14-15,15:00:00,https://en.wikipedia.org/wiki/Italy_Grand_Prix_2023
934,2023,15,15,Singapore Grand Prix,2023-15-15,15:00:00,https://en.wikipedia.org/wiki/Singapore_Grand_Prix_2023
935,2023,16,22,Japan Grand Prix,2023-16-15,15:00:00,https://en.wikipedia.org/wiki/Japan_Grand_Prix_2023
936,2023,17,80,Qatar Grand Prix,2023-17-15,15:00:00,https://en.wikipedia.org/wiki/Qatar_Grand_Prix_2023
937,2023,18,32,United States Grand Prix,2023-18-15,15:00:00,https://en.wikipedia.org/wiki/United_States_Grand_Prix_2023
938,2023,19,1,Mexico City Grand Prix,2023-19-15,15:00:00,https://en.wikipedia.org/wiki/Mexico_City_Grand_Prix_2023
939,2023,20,1,São Paulo Grand Prix,2023-20-15,15:00:00,https://en.wikipedia.org/wiki/São_Paulo_Grand_Prix_2023
940,2023,21,1,Las Vegas Grand Prix,2023-21-15,15:00:00,https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix_2023
941,2023,22,69,Abu Dhabi Grand Prix,2023-22-15,15:00:00,https://en.wikipedia.org/wiki/Abu_Dhabi_Grand_Prix_2023
942,2024,1,3,Bahrain Grand Prix,2024-01-15,15:00:00,https://en.wikipedia.org/wiki/Bahrain_Grand_Prix_2024
943,2024,2,70,Saudi Arabia Grand Prix,2024-02-15,15:00:00,https://en.wikipedia.org/wiki/Saudi_Arabia_Grand_Prix_2024
944,2024,3,1,Australia Grand Prix,2024-03-15,15:00:00,https://en.wikipedia.org/wiki/Australia_Grand_Prix_2024
945,2024,4,22,Japan Grand Prix,2024-04-15,15:00:00,https://en.wikipedia.org/wiki/Japan_Grand_Prix_2024
946,2024,5,13,China Grand Prix,2024-05-15,15:00:00,https://en.wikipedia.org/wiki/China_Grand_Prix_2024
947,2024,6,1,Miami Grand Prix,2024-06-15,15:00:00,https://en.wikipedia.org/wiki/Miami_Grand_Prix_2024
948,2024,7,1,Emilia Romagna Grand Prix,2024-07-15,15:00:00,https://en.wikipedia.org/wiki/Emilia_Romagna_Grand_Prix_2024
949,2024,8,6,Monaco Grand Prix,2024-08-15,15:00:00,https://en.wikipedia.org/wiki/Monaco_Grand_Prix_2024
950,2024,9,7,Canada Grand Prix,2024-09-15,15:00:00,https://en.wikipedia.org/wiki/Canada_Grand_Prix_2024
951,2024,10,4,Spain Grand Prix,2024-10-15,15:00:00,https://en.wikipedia.org/wiki/Spain_Grand_Prix_2024
952,2024,11,11,Austria Grand Prix,2024-11-15,15:00:00,https://en.wikipedia.org/wiki/Austria_Grand_Prix_2024
953,2024,12,9,Britain Grand Prix,2024-12-15,15:00:00,https://en.wikipedia.org/wiki/Britain_Grand_Prix_2024
954,2024,13,11,Hungary Grand Prix,2024-13-15,15:00:00,https://en.wikipedia.org/wiki/Hungary_Grand_Prix_2024
955,2024,14,13,Belgium Grand Prix,2024-14-15,15:00:00,https://en.wikipedia.org/wiki/Belgium_Grand_Prix_2024
956,2024,15,1,Netherlands Grand Prix,2024-15-15,15:00:00,https://en.wikipedia.org/wiki/Netherlands_Grand_Prix_2024
957,2024,16,14,Italy Grand Prix,2024-16-15,15:00:00,https://en.wikipedia.org/wiki/Italy_Grand_Prix_2024
958,2024,17,1,Azerbaijan Grand Prix,2024-17-15,15:00:00,https://en.wikipedia.org/wiki/Azerbaijan_Grand_Prix_2024
959,2024,18,15,Singapore Grand Prix,2024-18-15,15:00:00,https://en.wikipedia.org/wiki/Singapore_Grand_Prix_2024
960,2024,19,32,United States Grand Prix,2024-19-15,15:00:00,https://en.wikipedia.org/wiki/United_States_Grand_Prix_2024
961,2024,20,1,Mexico City Grand Prix,2024-20-15,15:00:00,https://en.wikipedia.org/wiki/Mexico_City_Grand_Prix_2024
962,2024,21,1,São Paulo Grand Prix,2024-21-15,15:00:00,https://en.wikipedia.org/wiki/São_Paulo_Grand_Prix_2024
963,2024,22,1,Las Vegas Grand Prix,2024-22-15,15:00:00,https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix_2024
964,2024,23,80,Qatar Grand Prix,2024-23-15,15:00:00,https://en.wikipedia.org/wiki/Qatar_Grand_Prix_2024
965,2024,24,69,Abu Dhabi Grand Prix,2024-24-15,15:00:00,https://en.wikipedia.org/wiki/Abu_Dhabi_Grand_Prix_2024
